French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
